year,forest_avg_eur,farmland_avg_eur,all_average_eur
2000,880.4625,282.0566666666667,728.3254237288135
2001,969.805625,338.01521739130436,765.1411267605633
2002,971.4596428571429,272.43111111111114,801.4256756756756
2003,1190.5304347826088,341.6526666666667,981.7900000000001
2004,1281.3671929824561,443.7804761904762,926.0273737373738
2005,1305.1912068965516,535.6893181818182,973.2492156862745
2006,1439.639074074074,696.9804545454546,1106.2005102040816
2007,2019.1319298245614,860.8421951219511,1534.5413265306122
2008,1785.7113725490196,969.3689743589744,1431.963
2009,1435.5389285714286,943.2726470588235,1249.5716666666667
2010,1778.1593103448276,863.7555555555556,1378.6625242718446
2011,1981.8416666666667,1174.8226086956522,1631.6258490566038
2012,2202.4177966101693,1340.4886792452828,1794.5406249999999
2013,2580.757741935484,1841.9160344827587,2223.6509166666665
2014,2689.6385714285716,2314.3132203389832,2508.1287704918036
2015,2455.0322950819673,2420.959074074074,2439.032695652174
2016,2392.59828125,2540.847678571429,2461.7813333333334
2017,2866.5099999999998,2733.4351785714284,2804.921652892562
2018,3978.7646031746035,2968.9680769230768,3522.160956521739
2019,3990.1961666666666,3204.528113207547,3621.6969911504425
2020,4394.51078125,3711.968245614035,4072.982479338843
2021,4802.925869565217,3698.1573913043476,4434.669710144928
2022,8219.484754098361,4788.683888888889,6608.5
